Sample,Soil Type,Arabidopsis,Treatment,Developmental,BiologicalOrExperimentalRep
C21.Mt.6R.old.C2_39b,C21,Mt,R,old,C2_39b
C21.Mt.8R.old.C2_39b,C21,Mt,R,old,C2_39b
C21.Mt.9R.old.C2_39b,C21,Mt,R,old,C2_39b
C21.Mt.10R.old.C2_39b,C21,Mt,R,old,C2_39b
C21.Oy.1R.old.C2_39b,C21,Oy,R,old,C2_39b
C21.Oy.2R.old.C2_39b,C21,Oy,R,old,C2_39b
C21.Oy.4R.old.C2_39b,C21,Oy,R,old,C2_39b
C21.Oy.4_2R.old.C2_39b,C21,Oy,R,old,C2_39b
C21.Oy.5R.old.C2_39b,C21,Oy,R,old,C2_39b
C21.Oy.7R.old.C2_39b,C21,Oy,R,old,C2_39b
C21.Oy.8R.old.C2_39b,C21,Oy,R,old,C2_39b
C21.Oy.9R.old.C2_39b,C21,Oy,R,old,C2_39b
C21.Oy.10R.old.C2_39b,C21,Oy,R,old,C2_39b
C21.Sha.1R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Sha.2R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Sha.3R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Sha.4R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Sha.5R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Sha.6R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Sha.7R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Sha.8R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Sha.9R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Sha.10R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Sha.11R.old.C2_39b,C21,Sha,R,old,C2_39b
C21.Tsu.4R.old.C2_39b,C21,Tsu,R,old,C2_39b
C21.Tsu.5R.old.C2_39b,C21,Tsu,R,old,C2_39b
C21.Tsu.7R.old.C2_39b,C21,Tsu,R,old,C2_39b
C21.Tsu.8R.old.C2_39b,C21,Tsu,R,old,C2_39b
C21.Tsu.8_2R.old.C2_39b,C21,Tsu,R,old,C2_39b
C21.Tsu.10R.old.C2_39b,C21,Tsu,R,old,C2_39b
C21.Tsu.10_2R.old.C2_39b,C21,Tsu,R,old,C2_39b
C21.Col.4R.yng.C2_40a,C21,Col,R,yng,C2_40a
C21.Col.7R.yng.C2_40a,C21,Col,R,yng,C2_40a
C21.Col.8R.yng.C2_40a,C21,Col,R,yng,C2_40a
C21.Col.9R.yng.C2_40a,C21,Col,R,yng,C2_40a
C21.Col.10R.yng.C2_40a,C21,Col,R,yng,C2_40a
C21.Ct.1R.yng.C2_40a,C21,Ct,R,yng,C2_40a
C21.Ct.2R.yng.C2_40a,C21,Ct,R,yng,C2_40a
C21.Ct.3R.yng.C2_40a,C21,Ct,R,yng,C2_40a
C21.Ct.5R.yng.C2_40a,C21,Ct,R,yng,C2_40a
C21.Ct.6R.yng.C2_40a,C21,Ct,R,yng,C2_40a
C21.Ct.6_2R.yng.C2_40a,C21,Ct,R,yng,C2_40a
C21.Ct.8R.yng.C2_40a,C21,Ct,R,yng,C2_40a
C21.Ct.9R.yng.C2_40a,C21,Ct,R,yng,C2_40a
C21.Ct.10R.yng.C2_40a,C21,Ct,R,yng,C2_40a
C21.Ct.11R.yng.C2_40a,C21,Ct,R,yng,C2_40a
C21.Cvi.1R.yng.C2_40a,C21,Cvi,R,yng,C2_40a
C21.Cvi.2R.yng.C2_40a,C21,Cvi,R,yng,C2_40a
C21.Cvi.3R.yng.C2_40a,C21,Cvi,R,yng,C2_40a
C21.Cvi.4R.yng.C2_40a,C21,Cvi,R,yng,C2_40a
C21.Cvi.6R.yng.C2_40a,C21,Cvi,R,yng,C2_40a
C21.Ler.3R.yng.C2_40a,C21,Ler,R,yng,C2_40a
C21.Ler.4R.yng.C2_40a,C21,Ler,R,yng,C2_40a
C21.Ler.6R.yng.C2_40b,C21,Ler,R,yng,C2_40b
C21.Soil.1S.yng.C2_40a,C21,Soil,S,yng,C2_40a
C21.Soil.2S.yng.C2_40a,C21,Soil,S,yng,C2_40a
C21.Soil.3S.yng.C2_40a,C21,Soil,S,yng,C2_40a
C21.Soil.6S.yng.C2_40a,C21,Soil,S,yng,C2_40a
C21.Soil.7S.yng.C2_40a,C21,Soil,S,yng,C2_40a
C21.Soil.8S.yng.C2_40a,C21,Soil,S,yng,C2_40a
C21.Soil.9S.yng.C2_40a,C21,Soil,S,yng,C2_40a
C21.Soil.10S.yng.C2_40a,C21,Soil,S,yng,C2_40a
C21.Mt.1R.yng.C2_40b,C21,Mt,R,yng,C2_40b
C21.Mt.3R.yng.C2_40b,C21,Mt,R,yng,C2_40b
C21.Mt.8R.yng.C2_40b,C21,Mt,R,yng,C2_40b
C21.Mt.10R.yng.C2_40b,C21,Mt,R,yng,C2_40b
M21.Ct.1R.yng.M1_27b,M21,Ct,R,yng,M1_27b
M21.Ct.2R.yng.M1_27b,M21,Ct,R,yng,M1_27b
